symbol,date,open,high,low,close,volume,adj_close
IF,2017-02-17,6.58,6.66,6.54,6.57,11600,6.57
IF,2017-02-16,6.65,6.67,6.63,6.64,4400,6.64
ISL,2017-02-17,16.90,16.99,16.90,16.99,9400,16.99
ISL,2017-02-16,16.889999,16.90,16.799999,16.90,12400,16.90
IAF,2017-02-17,6.09,6.09,6.05,6.08,50900,6.08
IAF,2017-02-16,6.12,6.14,6.08,6.11,83200,6.11
FAX,2017-02-17,4.86,4.89,4.86,4.88,372600,4.88
FAX,2017-02-16,4.89,4.90,4.88,4.88,451900,4.88
FCO,2017-02-17,8.50,8.50,8.44,8.47,14400,8.47
FCO,2017-02-16,8.51,8.51,8.44,8.47,21100,8.47
XXII,2017-02-17,0.90,0.91,0.88,0.91,466500,0.91
XXII,2017-02-16,0.91,0.91,0.88,0.90,369800,0.90
CH,2017-02-17,6.50,6.50,6.39,6.45,12600,6.45
CH,2017-02-16,6.51,6.55,6.50,6.50,14800,6.50
ACU,2017-02-17,25.450001,25.75,24.75,25.040001,3700,25.040001
ACU,2017-02-16,26.33,26.33,25.049999,25.76,3100,25.76
AE,2017-02-17,41.849998,41.849998,40.099998,41.200001,3700,41.200001
AE,2017-02-16,41.220001,41.990002,41.220001,41.220001,1700,41.220001
ATNM,2017-02-17,1.45,1.49,1.39,1.49,483700,1.49
ATNM,2017-02-16,1.50,1.505,1.36,1.43,618800,1.43
AIII,2017-02-17,1.10,1.14,1.10,1.14,300,1.14
AIII,2017-02-16,1.12,1.12,1.12,1.12,2000,1.12
ADK,2017-02-17,1.48,1.48,1.42,1.45,22300,1.45
ADK,2017-02-16,1.42,1.52,1.42,1.47,44200,1.47
AAU,2017-02-17,1.23,1.24,1.20,1.21,191500,1.21
AAU,2017-02-16,1.25,1.25,1.22,1.24,137600,1.24
APT,2017-02-17,3.20,3.25,3.15,3.25,12600,3.25
APT,2017-02-16,3.20,3.25,3.15,3.20,35600,3.20
AXU,2017-02-17,1.93,1.94,1.87,1.89,289600,1.89
AXU,2017-02-16,1.86,1.98,1.85,1.94,627400,1.94
ACY,2017-02-17,10.45,10.45,10.05,10.35,800,10.35
ACY,2017-02-16,10.20,10.95,10.20,10.40,21200,10.40
AIRI,2017-02-17,4.48,4.48,4.26,4.47,21500,4.47
AIRI,2017-02-16,4.40,4.50,4.40,4.45,11000,4.45
DIT,2017-02-17,100.099998,100.099998,100.099998,100.099998,200,100.099998
