symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
AXN,2016-12-31,False,Q2,2017,10-Q,8009111.0,233196.0,-43453.0,,,0.0,58724488.0,30838523.0,40511058.0,6848691.0,17805493.0,222874.0,-8772.0,
NSPR,2016-12-31,False,FY,2016,10-K,1894000.0,-7648000.0,-8461000.0,-5.93,-5.93,0.0,9410000.0,8594000.0,4778000.0,7516000.0,4045000.0,-7495000.0,70000.0,11703000.0
INUV,2016-12-31,False,FY,2016,10-K,71530102.0,-857166.0,-772584.0,-0.03,-0.03,0.0,27561139.0,11826046.0,11970419.0,3946804.0,11525792.0,1053019.0,-1116371.0,-247048.0
ABT,2016-12-31,False,FY,2016,10-K,20853000000.0,3185000000.0,1393000000.0,0.94,0.94,1.045,52666000000.0,26776000000.0,6660000000.0,18620000000.0,20717000000.0,3203000000.0,-248000000.0,11147000000.0
ABBV,2016-12-31,False,FY,2016,10-K,25638000000.0,9384000000.0,5923000000.0,3.65,3.63,2.35,66099000000.0,16187000000.0,9781000000.0,5100000000.0,4636000000.0,7041000000.0,-6074000000.0,-3928000000.0
AET,2016-12-31,False,FY,2016,10-K,63155000000.0,,2271000000.0,6.46,6.41,0.0,69146000000.0,28449000000.0,18694000000.0,17996000000.0,17943000000.0,3719000000.0,-381000000.0,12134000000.0
ALLE,2016-12-31,False,FY,2016,10-K,2238000000.0,425500000.0,229100000.0,2.39,2.36,0.48,2247400000.0,829300000.0,429600000.0,312400000.0,116400000.0,377500000.0,-64000000.0,-196000000.0
ALL,2016-12-31,False,FY,2016,10-K,36534000000.0,,1761000000.0,4.72,4.67,1.32,108610000000.0,,,436000000.0,20573000000.0,3993000000.0,-2526000000.0,-1526000000.0
AAT,2016-12-31,False,FY,2016,10-K,295088000.0,97941000.0,32585000.0,0.72,0.72,1.01,1986933000.0,,,44801000.0,838551000.0,122663000.0,-63514000.0,-54273000.0
AXP,2016-12-31,True,FY,2016,10-K,30093000000.0,,5408000000.0,5.67,5.65,1.22,158893000000.0,,,25208000000.0,20501000000.0,8224000000.0,1868000000.0,-7532000000.0
APH,2016-12-31,False,FY,2016,10-K,6286400000.0,1205200000.0,822900000.0,2.67,2.61,0.58,8498700000.0,3591200000.0,1635200000.0,1034600000.0,3723100000.0,1077600000.0,-1612700000.0,-133500000.0
APC,2016-12-31,False,FY,2016,10-K,7869000000.0,-2599000000.0,-3078000000.0,-5.9,-5.9,0.2,45564000000.0,5266000000.0,3328000000.0,3184000000.0,15497000000.0,3000000000.0,-2762000000.0,2008000000.0
ADM,2016-12-31,False,FY,2016,10-K,62346000000.0,,1279000000.0,2.18,2.16,1.2,39769000000.0,21045000000.0,13173000000.0,619000000.0,17181000000.0,1475000000.0,-1211000000.0,-579000000.0
